ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2009-12-31,856344.81549065,878264.3395854175,1120838.7009364888,856344.81549065,856344.81549065,140085.09122619458,140085.09122619458,140085.09122619458,140085.09122619458,140085.09122619458,140085.09122619458,0.0,0.0,0.0,996429.9067168445
2010-01-31,856873.4991072955,502658.58186661976,731703.4854291088,856873.4991072955,856873.4991072955,-233594.99790083707,-233594.99790083707,-233594.99790083707,-233594.99790083707,-233594.99790083707,-233594.99790083707,0.0,0.0,0.0,623278.5012064584
2010-02-28,857351.0197836057,401411.7567112026,630943.1451045001,857351.0197836057,857351.0197836057,-344706.5622846026,-344706.5622846026,-344706.5622846026,-344706.5622846026,-344706.5622846026,-344706.5622846026,0.0,0.0,0.0,512644.4574990031
2010-03-31,857879.7033433589,678713.1863404314,912715.0948324527,857879.7033433589,857879.7033433589,-59722.676411149114,-59722.676411149114,-59722.676411149114,-59722.676411149114,-59722.676411149114,-59722.676411149114,0.0,0.0,0.0,798157.0269322098
2010-04-30,858391.3326207189,541249.9704821081,776589.8023565313,858391.3326207189,858391.3326207189,-199417.59708909184,-199417.59708909184,-199417.59708909184,-199417.59708909184,-199417.59708909184,-199417.59708909184,0.0,0.0,0.0,658973.735531627
2010-05-31,858920.0162481213,535847.0704309684,775363.1735859384,858920.0162481213,858920.0162481213,-201864.8320109548,-201864.8320109548,-201864.8320109548,-201864.8320109548,-201864.8320109548,-201864.8320109548,0.0,0.0,0.0,657055.1842371665
2010-06-30,859431.6455990602,657435.1972455595,877657.7402062005,859431.6455990602,859431.6455990602,-92494.82919631443,-92494.82919631443,-92494.82919631443,-92494.82919631443,-92494.82919631443,-92494.82919631443,0.0,0.0,0.0,766936.8164027458
2010-07-31,859960.329244034,566498.6887468708,790665.089421522,859960.329244034,859960.329244034,-180929.79198419722,-180929.79198419722,-180929.79198419722,-180929.79198419722,-180929.79198419722,-180929.79198419722,0.0,0.0,0.0,679030.5372598368
2010-08-31,860489.0128915792,611115.1727388471,847567.9890113178,860489.0128915792,860489.0128915792,-126679.4711272707,-126679.4711272707,-126679.4711272707,-126679.4711272707,-126679.4711272707,-126679.4711272707,0.0,0.0,0.0,733809.5417643085
2010-09-30,861000.642260211,850228.6011682316,1065247.44475355,861000.642260211,861000.642260211,98414.2509932811,98414.2509932811,98414.2509932811,98414.2509932811,98414.2509932811,98414.2509932811,0.0,0.0,0.0,959414.8932534922
2010-10-31,861529.325954956,1072227.897689094,1296814.7428793376,861529.325954956,861529.325954956,326817.01349056297,326817.01349056297,326817.01349056297,326817.01349056297,326817.01349056297,326817.01349056297,0.0,0.0,0.0,1188346.339445519
2010-11-30,862040.9553408871,1352889.1470362332,1585271.381711916,862040.9553408871,862040.9553408871,612945.846519734,612945.846519734,612945.846519734,612945.846519734,612945.846519734,612945.846519734,0.0,0.0,0.0,1474986.8018606212
2010-12-31,862569.6388853309,798356.1234609163,1028757.5522840571,862569.6388853309,862569.6388853309,46004.60320867351,46004.60320867351,46004.60320867351,46004.60320867351,46004.60320867351,46004.60320867351,0.0,0.0,0.0,908574.2420940044
2011-01-31,863098.2188423882,603722.0264766931,832822.8755087834,863098.2188423882,863098.2188423882,-142697.2855968788,-142697.2855968788,-142697.2855968788,-142697.2855968788,-142697.2855968788,-142697.2855968788,0.0,0.0,0.0,720400.9332455094
2011-02-28,863575.4090654466,453990.2806332816,666594.7749227234,863575.4090654466,863575.4090654466,-299009.52029139595,-299009.52029139595,-299009.52029139595,-299009.52029139595,-299009.52029139595,-299009.52029139595,0.0,0.0,0.0,564565.8887740506
2011-03-31,864103.7268250039,635224.438489427,869215.6821684944,864103.7268250039,864103.7268250039,-111133.31626476809,-111133.31626476809,-111133.31626476809,-111133.31626476809,-111133.31626476809,-111133.31626476809,0.0,0.0,0.0,752970.4105602357
2011-04-30,864615.0020313241,453274.41767931276,666825.5893917462,864615.0020313241,864615.0020313241,-304249.8469491308,-304249.8469491308,-304249.8469491308,-304249.8469491308,-304249.8469491308,-304249.8469491308,0.0,0.0,0.0,560365.1550821932
2011-05-31,865143.3196941313,667602.058743217,891503.8264964211,865143.3196941313,865143.3196941313,-91708.54013519292,-91708.54013519292,-91708.54013519292,-91708.54013519292,-91708.54013519292,-91708.54013519292,0.0,0.0,0.0,773434.7795589383
2011-06-30,865654.5948152248,638981.7007272511,861781.944615906,865654.5948152248,865654.5948152248,-118439.60911617031,-118439.60911617031,-118439.60911617031,-118439.60911617031,-118439.60911617031,-118439.60911617031,0.0,0.0,0.0,747214.9856990544
2011-07-31,866182.9124165283,566977.3187714568,803310.3073346203,866182.9124165283,866182.9124165283,-175135.82945395043,-175135.82945395043,-175135.82945395043,-175135.82945395043,-175135.82945395043,-175135.82945395043,0.0,0.0,0.0,691047.0829625779
2011-08-31,866711.2300349745,613252.7385343742,836739.1667173435,866711.2300349745,866711.2300349745,-143950.83680382255,-143950.83680382255,-143950.83680382255,-143950.83680382255,-143950.83680382255,-143950.83680382255,0.0,0.0,0.0,722760.393231152
2011-09-30,867222.5051496,912038.8556837479,1141654.4002574442,867222.5051496,867222.5051496,156414.65600278418,156414.65600278418,156414.65600278418,156414.65600278418,156414.65600278418,156414.65600278418,0.0,0.0,0.0,1023637.1611523841
2011-10-31,867750.8227680463,1017593.5037756182,1251174.7244190876,867750.8227680463,867750.8227680463,264525.5834221752,264525.5834221752,264525.5834221752,264525.5834221752,264525.5834221752,264525.5834221752,0.0,0.0,0.0,1132276.4061902214
2011-11-30,868262.0978826716,1384689.329526436,1623143.443910512,868262.0978826716,868262.0978826716,636707.1337405291,636707.1337405291,636707.1337405291,636707.1337405291,636707.1337405291,636707.1337405291,0.0,0.0,0.0,1504969.2316232007
2011-12-31,868790.4155011179,713421.8646353564,934807.5475162058,868790.4155011179,868790.4155011179,-46541.90997806641,-46541.90997806641,-46541.90997806641,-46541.90997806641,-46541.90997806641,-46541.90997806641,0.0,0.0,0.0,822248.5055230515
